,fold,p.adjusted
FAM81B,-4.13337896628392,9.60896346149417e-13
EMP2,-2.60499976931032,1.33259302339478e-15
HPDL,2.86709596998972,2.97941931758005e-13
CLEC3B,-5.35578170273859,1.33259302339478e-15
HMMR,3.16162404102836,5.67592416285383e-15
FBXO43,2.34318754523651,1.75092890334664e-14
PLEKHH2,-2.78700836145499,1.99038475731391e-15
FCER1A,-3.23791590701905,8.44544162066154e-15
RAB37,-2.67956066049883,2.0202563768652e-15
ALOX15,-2.72179465502984,5.38442060764011e-06
SFTPA1,-7.86720021016726,1.33259302339478e-15
CA8,-2.06781695584604,2.50289278914776e-07
STAR,2.95334830710017,4.31988225883521e-10
SLC16A11,-2.44569124002222,1.50617281095956e-13
PLEKHN1,2.19479706324474,1.46353878142691e-12
KIF18A,2.05564513189267,3.99482350227136e-15
FABP4,-5.76503929379088,1.47047225225823e-15
ORM2,-2.96535102289579,2.59032156192384e-10
CLDN3,-2.18621392854551,1.29329494627177e-06
CTNND2,-2.93511401626087,2.32748865828851e-11
LRRC2,-2.7971785400922,3.7519665745631e-14
DSC1,2.73838377712182,6.37241744319944e-15
SLC46A2,-5.0255871005527,1.33259302339478e-15
ITIH5,-3.67493162813365,1.16291970818057e-13
FBN2,2.93433805846424,2.86970947459065e-08
WSCD1,-2.15670313405508,3.07887377244959e-12
GNMT,-2.40922535541126,5.7898631309472e-15
HGD,-2.0510158265031,2.4917076677425e-11
RP11-830F9.6,-2.51944486487939,1.33259302339478e-15
PDE1B,-2.33456840266563,3.85017436051978e-15
HOXC13,5.16052761898953,1.33259302339478e-15
CYYR1,-2.71100022296454,2.58725782193171e-15
KIAA1462,-2.93859043479962,1.34705187349842e-15
MVB12B,-2.24000425454548,1.90521492811209e-15
PKP1,5.08883975881207,3.00729758653828e-12
PPP1R14A,-3.18780346534973,1.72789698685459e-15
CDKN2A,2.91459706532676,2.80396463666762e-06
MCM8,2.15522026848966,1.33259302339478e-15
MLF1IP,3.02860696694128,1.84646232292053e-15
FGF18,-2.9719363670946,9.01139003627021e-15
KRT6B,7.09210136076465,7.25317051444951e-14
SAPCD2,4.19620933735191,1.3695750331501e-15
A2ML1,5.69954030022846,7.40362070439273e-14
LEPR,-3.0253865403853,1.33259302339478e-15
CTB-133G6.1,-2.97552646652365,3.74539427082736e-14
C12orf54,3.09893244142711,1.14814073030116e-08
MSRB3,-2.16960626797392,6.9533615476345e-15
SSTR1,-4.54775998441586,1.54906533863419e-15
PPP1R9A,-2.37932629285542,8.96791071178086e-13
TSC22D3,-2.13920079031131,6.92404146973609e-13
ATAD3C,-2.04398670863552,2.65431770518526e-13
C1orf173,-3.3522582584652,2.73749074598874e-09
GYPC,-2.59019600760045,4.35194662782999e-15
GPR146,-2.70359040271421,1.61183788061032e-15
GPC2,2.39584199074406,2.47559456100941e-13
RASAL1,3.46746774551464,1.33259151972307e-14
C21orf128,-2.70101775624267,2.07250443183697e-08
KDR,-2.46640069993926,4.02083239558372e-14
FAM111B,3.09786259345903,2.41474024084818e-14
SERTM1,-5.28904180496243,1.91327523237467e-15
SPRR2E,5.30758303567595,1.68853642259805e-10
MLIP,2.06644843228354,4.74259902219924e-07
HOXB9,3.20104701184401,1.90733666718364e-12
FAXDC2,-3.40140252288094,1.39159551706711e-15
PCSK2,-3.96463935511911,1.15796036490032e-14
CTD-3214H19.16,-5.10001065036723,1.94005697450966e-15
DUSP26,-2.61433368863178,3.95692279370456e-12
LYPD3,5.04540584953252,1.33259302339478e-15
TENC1,-2.51639856093459,1.33259302339478e-15
IL36A,2.22395864649814,2.27669540926773e-07
ZBBX,-3.273008864091,3.79612780609394e-08
MAGEA2,2.82987982698591,8.74112119095216e-06
NDNF,-5.20524384874644,1.33259302339478e-15
SMAD9,-2.28961614120006,6.36198543774874e-15
PPBP,-5.14594852472804,5.88078183366945e-15
STXBP6,-2.97143180692244,1.5683368651856e-12
C2orf54,-2.68222507722235,4.41671500356523e-13
FAM105A,-3.04579834004771,1.33259302339478e-15
IYD,-2.62479292778453,2.64929912623804e-13
FEZF1,2.79765804125923,5.16866841968237e-08
ROBO2,-2.30383118421553,3.07047499688352e-10
C17orf99,2.20495179012934,4.09604888123582e-07
MFNG,-2.52580270457097,1.67752848049723e-15
STIL,2.83658360166587,1.42181072389871e-15
FREM1,-2.21603081735964,2.41694801537958e-13
AARD,-3.21839903249374,1.30297280119918e-12
CD33,-2.55841184451912,1.80934080127784e-15
PLCH2,2.26080816950154,3.76535988368844e-09
MATN3,-2.38256750272904,5.23239872269352e-12
GPRIN1,2.48755804347608,1.18374377907666e-14
TMEM178A,-2.91312007173281,1.24398359868869e-12
KLRD1,-2.10676942192392,2.97941931758005e-13
ALOX5AP,-3.26380187989529,6.36198543774874e-15
CLIC3,-3.30298645221967,5.2152007205548e-15
CILP2,2.44786310668883,2.81930189550969e-10
TTPA,-2.23319370931141,2.35118416855383e-12
PYCR1,2.61619720727402,7.11545427508475e-15
LCE3A,2.35184043527559,1.29967322889075e-07
SCN1A,-4.22514118847092,6.64335187383663e-15
MAP1LC3C,-4.39481809151203,2.17599966625367e-15
MMP10,4.33940352836269,1.31860294119871e-08
MYZAP,-4.76221706014484,1.33259302339478e-15
BTNL8,-3.39756502081104,2.71573996951005e-15
MGAT3,-2.98420105994019,1.38833522289746e-11
FKSG48,2.45446269482715,1.68566176252272e-08
PRAME,6.48204121980636,5.34470316822984e-13
GGTLC3,-3.19030228531381,9.20481284250775e-12
HLA-DRB1,-2.55520049968902,4.41533343040686e-13
FCER1G,-2.07940007206668,3.17462189784507e-14
SYPL2,-2.09516124519895,1.13094877207884e-14
TRPC3,-2.11831008224742,1.87978077652914e-15
CXCL5,-3.1290598492466,1.68503641267858e-10
KCNA5,-3.29335310931567,6.46667226711266e-14
HSD17B13,-3.37940004635165,1.90640191349608e-13
CABYR,3.38378055016298,3.7622110581795e-15
CCL21,-2.15000276937129,2.12256911446467e-09
PIF1,2.62282802177711,2.76674307353455e-15
C1orf167,-3.89600722206257,1.33420804523749e-15
TLR7,-2.06917798375511,4.34477651459724e-12
FAM184A,-3.17104494042007,4.54819326538941e-15
ESCO2,3.14357362659999,2.05248185356058e-15
NAPSA,-6.32282242847172,1.33259302339478e-15
FAM150B,-3.14177212681141,2.41694801537958e-13
FCGR1B,-2.22782119939523,3.83428604956431e-14
PRG4,-5.05562257706482,5.38279980386903e-14
DEPDC1,4.06955805288436,1.80934080127784e-15
ALG1L,3.90136889259687,6.78704113622039e-14
MGLL,-2.65120068204763,1.33259302339478e-15
UCK2,2.33579959949912,1.49783641840816e-15
FAM83D,3.49720666293298,1.95661838219896e-15
MS4A8,-4.67535002634528,7.34385110110767e-10
CD68,-2.210600150096,1.03679252392929e-13
LHX5,2.99130342881186,2.95569128796229e-15
IGF2BP3,3.3830226859444,1.30892454199917e-13
SMAD6,-2.89040285811517,4.11282943519911e-14
KCNAB1,-2.0968828096337,2.28518004580348e-12
GGTLC2,-4.34925504053042,2.02749649861168e-15
DSCAML1,-2.03037188298321,2.09220032793987e-10
C11orf96,-3.09620397883645,7.41828743372528e-13
TRIM71,-2.52346044181954,1.21805623071809e-13
ICAM4,-3.32717401728971,6.63710785008291e-14
SULT1A2,-3.87899323589045,1.3695750331501e-15
IRAK3,-2.05601168917768,6.2115735931134e-15
ZIC5,3.61860787426841,6.43358311420572e-14
RASGRP2,-2.71319590968581,2.31363604555832e-15
ZMYND12,-2.14738364211203,2.09983883932008e-13
DLL4,-2.20399868426251,2.8224475587389e-15
SLC24A2,2.20744539939846,9.84525538310133e-15
CENPK,2.32059141576249,1.05080246313836e-14
P2RY13,-2.38094471233206,1.96307336016808e-14
GATA2,-2.67697517077816,9.22460712253868e-15
SIX2,2.91219505177568,6.25321065070418e-08
APOH,-5.51515820710914,1.80794651394233e-15
FFAR4,-3.8066414938738,6.9533615476345e-15
C11orf16,-2.90174383120707,2.55272929261464e-08
SLC16A4,-2.58539374825397,3.03133175828326e-14
C2orf73,-2.75792466897628,1.10538064848075e-11
GZMM,-2.19056400026895,9.68396138136936e-12
PTCRA,-3.45388316817514,2.5459037054281e-15
NPW,2.14844620130774,5.15424121896652e-08
NR2F1,-2.32979186768064,1.13094877207884e-14
TM4SF18,-2.21544118006924,6.02470103699921e-13
CD36,-3.25120659314642,1.06080683370005e-13
TSPAN19,-3.33616082716695,5.72322668519234e-08
KLRF1,-2.80047854756426,2.59446381476498e-13
PITX1,5.90148026257998,2.23892279602156e-15
DNMT3B,2.18179004620514,1.39045303430849e-14
KCNK9,2.21887946655491,3.06077747896891e-09
IL36G,5.25822368884851,4.27492846956857e-13
AKR1B15,4.9030083716991,2.95569128796229e-15
C1QTNF6,2.12880011568652,4.31456574075136e-14
CCL14,-4.44817011256676,3.9146753476753e-15
FAM189A1,-2.83772229993814,9.6793166529234e-14
PGF,2.08379824079593,1.00103283876039e-10
C9orf24,-3.89628801627281,4.60210127292581e-10
PARM1,-2.49639325501159,9.61163121892835e-13
ALPL,-3.25359826765345,9.45394720025791e-15
TRPV3,2.03253694442206,9.56164328348802e-11
SNURF,-2.45989598777183,2.27910621113666e-14
METTL7A,-2.53399726073388,1.24069389902147e-14
AGRP,-4.78567977523395,2.45253628468208e-15
OSCAR,-3.15921683591632,3.24589451123616e-15
CCDC178,-2.37584185642636,7.9471883556398e-10
FERMT1,3.98878613242238,1.5881369081558e-15
CCDC108,-3.81537391163079,1.1369937138339e-10
TNNT1,2.67832075270454,4.60210127292581e-10
HRCT1,-3.24533120827913,2.01060353194877e-14
PDK4,-4.62738093671495,1.39159551706711e-15
TMEM212,-3.30680071453738,1.13803650782884e-09
DMRT1,2.21773746638733,1.3332651829278e-14
HHATL,-2.50172945634982,1.13648374905564e-12
PPP1R16B,-2.46136536360815,2.15688100037071e-14
CSF3,-4.70476224827816,9.78919456945913e-11
SERPINB2,2.74606087523472,2.64030724562317e-07
PILRA,-2.43619536106913,9.21478855246024e-15
MARC2,-2.08839873729047,1.33259302339478e-15
PDZRN4,-2.03529867845797,5.50104666081158e-09
SLIT2,-2.51481558157052,6.64562519416402e-15
PLEK2,2.38899675908441,1.83905685587505e-14
AHNAK2,2.31060063904955,2.328460746595e-10
SELP,-3.53904911395135,1.5881369081558e-15
FGD2,-2.3183900416337,7.79281236848692e-14
GPT2,2.28199128828172,1.83905685587505e-14
NEK5,-2.39580867652392,1.26344486307446e-09
GPC3,-2.02320513820152,2.66803867258961e-06
OTC,-3.39540749899491,3.50269959273827e-15
C6orf118,-3.72668630299189,4.20034681934113e-10
USH1G,3.96106726307156,1.90762303253866e-14
TGM5,2.87367210338271,6.79501527090662e-12
CALML3,7.27541344499446,8.74937138207991e-13
CADM1,-2.82960809806876,1.33420804523749e-15
DUOX1,-2.43600741768436,3.69338773060659e-15
FLT4,-2.41801721009688,2.58725782193171e-15
MAK,-2.25416346593061,4.76081936817361e-12
ADRA1B,-2.68169706670091,1.10801049352289e-11
LIPN,-2.21012949529421,2.72634184333413e-10
ABCC6,-3.1715387451051,1.33259302339478e-15
WIF1,-6.14825670937684,7.99177259535446e-14
TNXB,-5.04480160544181,1.33259302339478e-15
MSI1,2.32138530919543,2.37280674404206e-07
DAAM2,-2.5531941392331,3.7622110581795e-15
CXCR2,-2.82863491394425,1.53360793516786e-12
C5AR1,-2.49959780271822,2.15688100037071e-14
JPH4,-3.27571759986506,1.52214713234209e-14
BARX2,3.53973724962544,1.08460692803497e-11
TP63,4.24505257693953,5.3457776462281e-10
LAD1,2.28520202310928,6.31886980629542e-13
ID4,-2.39917689919412,4.0211182158063e-14
CASC5,3.10385119937341,2.50295945923263e-15
KNDC1,-3.25077208944044,1.33259151972307e-14
LILRB3,-2.00261291032057,7.03056545345998e-12
VTCN1,2.79224230107793,4.74770458377428e-07
CASP12,-3.78441920792072,1.39159551706711e-15
SERPIND1,-3.47997581358848,4.23107370403405e-10
CSAG1,2.87871213266652,1.06604724532972e-08
TPSAB1,-2.8761987634223,1.30750555380589e-14
HOXA11,3.14774781212669,5.78723831519426e-12
ATP11A,-2.21999573663691,3.11904141831295e-15
C4BPB,-3.12577508095399,3.03133175828326e-14
RGCC,-3.6995998370926,1.90521492811209e-15
SOGA3,-2.7112675739703,6.78704113622039e-14
RGN,-3.5210135840023,1.33259302339478e-15
KRT75,4.18027960995375,1.95002192048896e-14
KLK6,4.43701403003921,2.92445337588972e-12
C1QTNF2,-2.69191650562638,2.05248185356058e-15
HBA1,-5.38900336658611,1.61183788061032e-15
GP9,-4.11039556615822,1.33259302339478e-15
SYNPO,-2.20260055771081,1.33259302339478e-15
TRIM59,2.03901218869381,8.24715067374168e-15
HAS1,-2.13173937714708,8.75498965801267e-05
EFCAB10,-2.11391896798515,6.45406824422205e-09
PEAR1,-2.67479052523132,2.40019842413019e-15
ACE,-2.67079697872228,1.80934080127784e-15
CREG2,2.61349986230835,5.56922425682073e-10
CCNI2,-2.15775507362997,1.45645973543674e-14
KRT9,2.47215923911988,1.95661838219896e-15
AC079210.1,-2.57772774063877,9.6521531603343e-15
SPRR2A,5.96431767469659,2.23283349867474e-10
SALL4,2.88573764323683,9.84525538310133e-15
C20orf26,-2.0913714262992,5.69415957761642e-08
CCDC170,-2.89638171831401,7.77210008082839e-13
GPRC5A,-3.36780263612171,2.05248185356058e-15
CRISP2,-2.26236531094473,9.38803193927068e-07
VNN2,-2.36679966596021,1.43629710058705e-13
F12,3.67851407681932,1.33259302339478e-15
MYEOV,2.86528560548879,3.37158828319436e-12
COL6A6,-3.98020058451631,2.96193669813664e-14
PDE8B,-2.04834323091423,1.92281359684315e-14
SMO,2.02220022123576,1.53360793516786e-12
TCTEX1D1,-3.0781226094519,1.7944506122758e-14
NHLRC4,-2.36875417865811,9.06505339047897e-12
ARHGAP11A,2.75482097422993,1.64563886916464e-15
TMEM130,-2.78669920160876,4.63771210034406e-13
PTPRH,3.20910008793423,2.41694801537958e-13
NPY4R,-2.02671930584281,4.94469353386743e-11
PIEZO2,-2.23079252865752,7.7709140364574e-13
PLAU,2.148401187492,8.85709425964627e-12
MAGED4B,2.43640378926303,1.30750555380589e-14
VNN3,-2.21842920755587,1.45556525656647e-08
DNASE2B,-4.18371612617645,9.6521531603343e-15
CTHRC1,3.21381120186511,3.57742347487419e-13
SIM2,2.55598753016463,1.18655239260304e-09
TM4SF4,-2.2767576824895,4.878186237551e-10
RGS7BP,-2.27473345858741,1.6960362480841e-13
TRHDE,-3.63241448168655,6.70791917156355e-13
ANGPTL7,-4.11860245909407,1.33420804523749e-15
ZIC2,4.54784567637988,7.85261830595556e-14
RAET1L,5.93378732699593,1.69704537890695e-15
UBASH3B,-2.14259392407964,6.46188515100722e-13
SNX22,-2.96774252015471,1.00798000498461e-14
CCDC65,-2.56866093270621,1.68384834292129e-12
SLC9A4,2.42621423343219,7.01473686022599e-10
RASGEF1B,-2.0393856294615,1.36029759758602e-14
COX7A1,-2.52840251818958,3.85017436051978e-15
INA,3.1763975641743,3.02712470387754e-11
DOCK2,-2.08020955783218,4.53445184371504e-14
CASC1,-2.32583521757223,1.61610628560802e-10
GNG11,-3.3239952730403,1.33259302339478e-15
PADI4,-3.07308736919122,3.10417276726639e-14
GPR116,-4.03780389884275,1.33259302339478e-15
PLA2G5,-2.16417658803873,6.61496243971681e-13
KIAA1683,-2.84762010427364,9.46617474300267e-14
SLFNL1,-2.89978535697932,7.82503007165133e-15
RPTN,2.57992508509477,1.12882754349364e-07
TCF24,2.37474099883568,9.94283565653651e-13
C3orf72,2.16614452999322,7.45107310728076e-10
SH2D4B,-2.2310672172171,5.09483165566957e-15
CTSG,-3.25039396456427,4.9855995293187e-12
MAMDC2,-4.24020660380122,5.91700140781267e-15
LEPREL4,2.0383913732409,1.96339450897135e-14
THBS2,2.18060227904864,1.80148882994842e-09
TMEM79,2.33900451582219,1.33259302339478e-15
C1orf162,-3.16359747989437,1.80794651394233e-15
CCDC13,-2.3203898423514,4.76290984390614e-15
CLEC4D,-2.09822978609786,2.9081820378199e-11
DNASE1L3,-3.63835185252185,1.15811812156382e-14
HIST1H2BH,4.13701950303897,1.96044433462526e-13
HS6ST2,2.12301835859504,6.99873373883301e-08
TNS4,4.78261421955752,2.0202563768652e-15
C1orf61,2.02854768432288,3.29693568341758e-06
CERS3,5.8023046000656,2.76457662156132e-14
GINS2,3.37054450663739,1.39159551706711e-15
SH3BP5,-2.43020127734005,1.33420804523749e-15
PRELP,-2.76860902690765,4.31363787181654e-13
PARD3B,-2.10478185134733,3.34002620928225e-13
RAB17,-2.94600286442262,1.64563886916464e-15
UPK3B,-5.18311179779236,3.1816603410419e-15
NEK10,-2.22550849228477,5.0963187983525e-07
C10orf128,-2.89281301708381,2.13612018269727e-15
DEFB126,2.44728961139929,5.24811939173103e-11
PIH1D3,-3.39527745741888,7.55561332146495e-10
KRT31,4.26119201354779,2.38180350625388e-12
ADRB2,-3.51880180470719,1.33259302339478e-15
EFNA3,3.23560546981279,1.33259302339478e-15
RP11-503N18.3,-2.56016385041538,8.35796993368678e-09
HKDC1,-2.08395487490051,2.65753359132111e-08
UGT1A7,4.25072404003364,4.8977275310833e-08
SNX31,2.57784018365341,5.36263808486808e-09
OVOL1,3.18350541871155,1.01231065048836e-13
CSRNP1,-3.2624029965507,8.80381920149088e-15
CD160,-2.47954422573735,1.05080246313836e-14
PTH1R,-2.95120519274507,1.59936334228061e-14
MT1A,-3.79202501506578,5.65572815398443e-11
TBC1D10C,-2.27999773409289,1.77201641626759e-13
SLC4A11,2.05781882435254,7.34566698802764e-11
CPB2,-6.62142091466703,1.63015356450099e-15
SULT1A1,-2.8096011097603,1.54906533863419e-15
SEC14L6,-4.57576354522115,1.33259302339478e-15
RP11-293I14.2,2.0014647874786,6.59539037715106e-05
VIP,-2.56517821339853,1.08882888902009e-14
CDC25C,3.78356705078664,1.95661838219896e-15
RP11-664D7.4,-4.61575776399224,6.64562519416402e-15
AQP5,-3.27567122928293,5.5052334679749e-09
HBB,-5.34339622997891,1.54906533863419e-15
GSTM5,-3.40885054275763,1.61183788061032e-15
LONRF3,-3.28271143011776,2.6740821936512e-15
SLC6A8,3.77499330014174,1.34705187349842e-15
RXRG,-4.15702863472344,1.80794651394233e-15
C1orf74,2.05404037817244,1.54741960111951e-15
FBLN5,-3.23820068906533,1.37937695708909e-15
LRCH2,-2.17211156507692,1.47047225225823e-15
SLC39A2,3.20714096952162,1.26113222357957e-09
KCNK17,-2.83352081143656,6.47541259909781e-14
CST1,5.27470034397603,2.49894895930283e-12
PRSS3,2.89691116970897,1.19273532771034e-08
HP,-3.32439510557597,1.69744934918575e-06
C16orf89,-5.59080575936639,1.33259302339478e-15
HLA-DMA,-2.4096014863605,3.85017436051978e-15
CD34,-2.64360021867472,1.37937695708909e-15
CDH5,-3.57360977265422,1.33259302339478e-15
STEAP4,-4.20478262527191,1.37937695708909e-15
PMAIP1,2.07820242838238,8.787811236038e-14
MARCH10,-2.22360402551935,1.12938332863193e-06
ZNF556,2.16265868900703,2.73867546405462e-09
SLC5A4,-3.08230130112613,1.56127544498245e-15
FHL5,-4.4808279772429,1.33259302339478e-15
ANKRD22,2.09558173077329,5.06273504939398e-11
MUSK,-3.05292588881669,1.74150197913032e-15
DPT,-2.15418937355494,3.56900032735009e-10
FAM83B,5.74021993724564,1.54741960111951e-15
HMGCLL1,-3.37364737078352,1.45645973543674e-14
PAPL,3.13668472624857,2.91757364668021e-10
DDC,-2.62408442596254,2.60952562470431e-11
RNASE1,-3.20540051671957,1.33259302339478e-15
OMG,-4.39145947856049,5.11490442471414e-14
SHC3,-2.18752087552241,2.89451655703269e-14
ADTRP,-2.10821577172288,4.24414339256456e-11
NLRP3,-2.03955508999567,8.26573630011684e-12
LY6K,3.84855073750759,5.63503509683178e-14
KCNA3,-3.40890702167342,2.71573996951005e-15
KPNA2,2.36179950893793,1.67752848049723e-15
COL6A5,-3.01981030463734,3.41187965531025e-14
OR2W3,-2.55167604074834,9.56164328348802e-11
HECW1,2.16644390649012,2.66213816009302e-11
HELT,-2.1113516986263,5.36775395731502e-11
MYH2,-2.22336173963654,3.18429749113253e-14
FBP1,-3.97180044174208,1.95661838219896e-15
HSPB2-C11orf52,-2.64366480804938,1.01301485582376e-11
NKAIN1,3.08673514691661,5.67592416285383e-15
CCNJL,-2.08399773906633,2.32748865828851e-11
HSPB8,-2.4544060820722,3.69338773060659e-15
PTPRC,-2.23460279167651,2.15688100037071e-14
CD244,-2.28472644664907,5.76823854353892e-14
IL18RAP,-2.11587290435081,5.47270111420391e-13
NRG3,-2.44607547600536,1.95434198344094e-11
SERPINB5,6.58983409375948,1.75255146848203e-14
C9orf171,-3.61536437237389,1.11206280375789e-09
SIX1,2.21822249640422,3.40792429146244e-09
TTC18,-2.21435532646301,2.81930189550969e-10
CXCR1,-3.30203448548718,7.95549726638196e-13
EFCAB12,-2.8685587657202,1.0373800620393e-11
SEMA5A,-2.47222226259143,1.95713223322688e-11
MAGEA10,2.59984884328513,8.47904472865939e-08
SPI1,-2.5099981303459,4.54819326538941e-15
RASIP1,-2.39999592824733,1.86509549648172e-13
CADM3,-2.38345591820509,2.0040985596097e-10
CCL15-CCL14,-4.88905396632237,4.13739793355073e-15
CGREF1,2.89061718601695,6.87885175493165e-11
NKX2-5,3.1248183730651,4.47938362483359e-08
UCHL1,2.88719770824662,7.02787360190378e-11
TGFBR3,-2.6109744432682,2.52548863920106e-14
FAM46B,-2.26481528026992,3.57742347487419e-13
