,fold,p.adjusted
LRRC18,-3.59756644255847,4.30937623265943e-14
FETUB,3.40581475011555,5.04824680345448e-08
CCL17,-2.65280305544199,5.22851972138677e-13
IL36RN,4.67207393241292,1.02397115813492e-13
SLC51B,-4.91762578846856,1.33259302339478e-15
FAM153B,-2.06257454936527,1.90772410301696e-07
B3GNT7,-2.67142018983868,1.27993204945864e-13
DAPL1,4.65046652164389,8.50388430361038e-10
PRSS35,-2.42130905452522,6.28278589813629e-12
MS4A15,-6.47175420294546,1.33259302339478e-15
ADM2,2.20201462965623,3.77824084757345e-12
EXOC3L1,-2.05819805873592,3.38504767942722e-15
ESAM,-3.21339600966354,1.33259302339478e-15
KLF2,-3.42479319712881,4.45519134383807e-15
HBEGF,-2.19100371744708,8.14994843723544e-10
SGOL2,2.10421805661654,2.86270326319769e-15
DNAAF1,-2.77903164824808,6.08392583505967e-09
ECM2,-2.1000074537032,7.94361253220563e-13
SERPINA1,-3.4039996155533,4.66222092233047e-15
SPN,-3.62038565196101,1.54741960111951e-15
TEX14,-2.06748712065937,1.64176474864296e-12
CD300E,-2.31895525065622,1.18713390035811e-11
GRHL1,2.35701699298039,2.58949884340728e-14
METTL11B,2.31257218873766,9.84525538310133e-15
SNX25,-2.2040014898299,1.33259302339478e-15
LRRC31,-2.96399159163412,2.96193669813664e-14
NKPD1,2.36124275693733,1.19110707576797e-14
CD37,-2.4581981783622,2.00045652956675e-13
SLC9A3R2,-2.53179975342701,4.35364191179089e-15
KRT74,2.72854398041238,1.75092890334664e-14
EPAS1,-3.36999990669292,1.33259302339478e-15
MEGF11,-2.11537190345861,4.0834847906877e-09
MYADM,-2.50620048039396,2.52548863920106e-14
TMEM252,-2.88931616837133,1.56405073619332e-15
RGS18,-2.26475282111495,4.11282943519911e-14
SLC13A5,2.15255148535948,5.65082506402135e-07
LDLRAD1,-4.39800363147951,6.84370761392856e-11
GYLTL1B,2.61080871063303,4.87002826969519e-13
CORO2B,-2.71259462889107,1.73698255212663e-13
C16orf54,-2.57520713375034,2.36291336110622e-14
SEC14L3,-4.14320450591876,2.6740821936512e-15
IL1RAPL2,2.05652782247165,2.26063732837665e-11
SLCO2B1,-2.60820120602821,1.67382440490722e-14
C12orf39,-2.49163524459203,5.47270111420391e-13
GJB3,4.61520050886162,2.23075648070934e-15
ALS2CR12,-2.09577440311618,1.13334716823452e-11
FCRL1,-2.5677531699922,4.63154280809938e-11
PNMT,-2.32287110200409,7.81083016615497e-10
RGL3,-2.6979989921878,1.78779164925152e-11
C10orf107,-3.70198827252927,7.25317051444951e-14
SHCBP1,2.58423084897425,3.45560045315771e-15
DYNLRB2,-2.90866445371852,2.28189529192903e-10
KIR3DL1,-2.85918481709227,4.78426606695273e-14
ZEB2,-2.2508053088035,1.54906533863419e-15
HSD17B6,-4.20482782538321,1.33259302339478e-15
TSPAN8,-2.84739996430754,2.87995458663371e-12
LCE1F,2.18433262408377,3.7594054274996e-09
CSF3R,-3.09240191091839,2.13612018269727e-15
CAPSL,-3.4791010098155,4.03744975292202e-08
KRT33A,2.1134379504598,1.40212420227765e-12
DSC3,6.07864542417509,8.20080801538977e-14
PTGFR,-2.27869475931976,1.72249952431388e-12
C18orf56,2.55198332747434,7.11545427508475e-15
PLAC9,-3.76818169859913,1.3695750331501e-15
ATOH8,-4.85654591158039,1.33259302339478e-15
APBB1IP,-2.01939888366603,1.16291970818057e-13
EMR3,-3.3135741466391,8.04616495249128e-15
C3,-2.21419997177127,1.43629710058705e-13
VEPH1,-4.59502159127784,1.33259302339478e-15
TFEC,-2.04003456647237,5.88988519580495e-13
ADGB,-3.32280400600942,2.37734902368028e-10
STARD8,-3.04499656715814,1.33259302339478e-15
DUSP9,5.12671974948976,1.33259302339478e-15
MGC4294,2.07768341801943,7.02034805237718e-12
GAS2L2,-3.41427136577656,2.6685451438271e-12
TMED6,-2.24622489699796,1.56261965186481e-14
PTPRO,-2.10218317000774,8.65623222987823e-12
CELA2B,-3.37512054344513,1.03883986813634e-13
HOXC6,2.79292906161872,5.23229490586734e-12
FAM25A,4.02213280033355,1.93792809943353e-10
PKMYT1,3.28622232859772,1.3695750331501e-15
IL7R,-2.53580740700147,5.89074017508871e-13
SEMA3G,-3.36400171211085,2.71573996951005e-15
TENM4,2.66431101421864,1.18719531372465e-12
KCNRG,-2.11390255602162,6.73351073868077e-10
CYP3A7,-2.92773501255253,1.43629710058705e-13
HPSE2,-2.66616012549708,4.63154280809938e-11
TSPAN32,-2.77041537050439,1.96409502351305e-14
CLEC12A,-3.23840609846904,2.09849226777613e-15
MYO1G,-2.01660240971918,5.89159595156507e-13
C22orf15,-3.08984953690018,1.41946740083288e-10
TNR,-2.79873800314508,9.78901141143362e-13
SLURP1,2.42749891643311,1.70383453916666e-05
KLF6,-2.06160028975241,3.17396169207926e-14
ETV4,2.6400074308714,3.60998172333646e-12
DTHD1,-2.41022466918363,1.76590984496218e-08
CYS1,-2.41043702982998,1.05313519812049e-12
RIMS2,3.12219978029694,1.44746370834466e-10
GABRA3,4.68059038019547,1.44351653113356e-14
ERVMER34-1,2.28178926274328,3.45417443312245e-12
AVPR2,-2.97558524571038,2.82825553055161e-14
EME1,2.88701168214438,1.33259302339478e-15
HIST1H2AM,2.90056605773298,2.17732550595858e-13
SEMA3E,-3.33580246086619,1.57531904914646e-13
CHRNB4,3.52503196961432,1.5326770428099e-14
BNC1,4.15080151899796,4.98125830904341e-09
FPR1,-2.76680325235541,9.8857429278177e-14
PCDH19,2.63166993614986,8.29614961185958e-08
CD93,-3.06359481541809,1.33259302339478e-15
MEF2C,-2.19440054706649,1.95505411104168e-15
CENPE,2.95612489905851,1.33259302339478e-15
CDK5R1,2.45019305303515,3.61299051416425e-15
C6orf25,-2.3602854104482,6.02308375507234e-13
ANKDD1B,-2.28938791347869,2.3065682599154e-13
MRC1L1,-4.16180802793708,2.6740821936512e-15
IGSF6,-2.06079259268288,1.90640191349608e-13
SLC19A3,-4.12156125540338,1.3695750331501e-15
PAX9,2.69935464744687,4.83454017187673e-11
C10orf95,-2.66521346317033,5.63770900735823e-14
CYP17A1,-2.7877409512808,7.24163645401086e-14
EXO1,3.97613877270627,2.09849226777613e-15
PHACTR3,-2.7765805765225,2.72295808274481e-11
SIGLEC11,-3.60917331638008,2.86270326319769e-15
RNASE4,-2.49619983673316,1.33259302339478e-15
MYL9,-2.20080014836813,1.99038475731391e-15
S100A2,5.48079137482612,8.59176629531253e-14
UBXN10,-2.91330881195813,1.10766242380212e-12
GAL,4.42974480815519,2.75715932212425e-15
AR,-2.30778007604668,2.36469778565982e-14
IGFL3,2.5603805333731,1.35952906038095e-10
S100A7A,3.68529129291802,2.24824491211972e-14
MMP1,4.84023394067387,4.63771210034406e-13
FGFR4,-3.8800129711431,1.90521492811209e-15
SLC2A5,2.30368183342524,1.1912495932493e-10
CA4,-6.9528679679649,1.33259302339478e-15
DNALI1,-3.06319784983236,1.5774473245942e-13
CYP1A2,-2.5722321330913,4.00134203291884e-14
BAIAP2L2,2.83928719508603,7.08083271077762e-13
RXFP1,-3.08353855328983,2.30752140293011e-13
CCDC114,-2.03179794782014,4.22461791834979e-06
GPA33,-5.14439997591285,1.95661838219896e-15
SPC25,3.56441614793851,1.67752848049723e-15
KCTD1,2.42559896335104,5.89368920816138e-14
C10orf91,2.24710005421869,4.03132886493151e-13
RAD54B,2.20316041841365,3.69338773060659e-15
EDN1,-2.70259595255255,2.52548863920106e-14
FZD4,-2.57379372682847,5.43025303688931e-15
KRT15,4.81299951861324,1.18374377907666e-14
CHAF1B,2.3318192398624,1.52540654868082e-15
P2RY14,-2.95133346564885,1.33259302339478e-15
ECT2,2.86719507298919,1.33259302339478e-15
KCTD12,-2.0819959201244,1.33259302339478e-15
IGSF9,4.45267007698457,1.33259302339478e-15
MAP7D2,2.30753376043381,2.41516108215098e-07
SPRR1B,6.71707693035707,2.68194192273673e-12
DMRTA2,3.06481883574318,1.55994826691458e-11
GADD45B,-2.76220004078648,4.11282943519911e-14
FOLR3,-3.68533599341569,2.94529760422979e-12
KIAA1549L,3.22941539942628,7.25317051444951e-14
TESC,-2.06200923391519,3.04815264671152e-13
MAGEA6,3.76172527617621,1.05687220940885e-05
IRX4,4.09118210340955,1.33685516691045e-13
CCDC85A,-3.59793262391865,1.33259302339478e-15
ABLIM3,-2.68598370361235,1.69704537890695e-15
SCNN1B,-2.82379138688155,2.76457662156132e-14
CEACAM6,-3.50598743704404,6.92300360272932e-13
SYBU,-2.51299821287453,7.72194754803642e-12
EFCAB1,-2.12359621307389,1.26375654475239e-05
ANGPT4,-3.86282519147758,1.67752848049723e-15
MOGAT1,-2.20683810521461,2.18260265123522e-13
GDNF,2.71745983069634,1.08000678964268e-13
MYH11,-2.95239474961741,7.54528846159584e-12
DNAH9,-3.25357685698529,8.3239768344202e-10
BTK,-2.62279186117565,2.8224475587389e-15
ERCC6L,3.57874326841229,1.78278963937938e-15
GUCY1A2,-2.4449952487271,3.38504767942722e-15
LPPR3,-2.50961251025063,7.89491798519295e-09
ESYT3,-3.25160720462635,1.33259302339478e-15
APOBEC2,-2.2470631728077,3.49104713183293e-13
LCE3D,3.96572413717953,4.40937220255894e-08
TERT,2.41665972063086,6.63872654581767e-14
IL5RA,-2.57242952723041,1.33209716621147e-12
IHH,-4.54808712384852,3.9146753476753e-15
STARD9,-2.67079849916129,3.11904141831295e-15
ADAMTSL4,-2.84859714857142,1.92305767229037e-14
KLRB1,-2.38457169435895,6.78366550131128e-14
DSCC1,2.34201058000292,5.7898631309472e-15
SECISBP2L,-2.16319611022055,1.3695750331501e-15
S100A7,6.11889620364476,1.85950213227325e-12
FCGR3A,-2.18279747232949,6.02470103699921e-13
FAM47E,-2.04039549863105,2.36020774680089e-13
HRC,-2.46907806887516,2.86270326319769e-15
C1orf116,-3.1349985686493,1.33259302339478e-15
SERPINB12,2.85689637557078,7.87697145529254e-10
ABCA9,-2.77470321143275,1.84646232292053e-15
DNAH10,-2.52588713121463,7.17957650694919e-10
C1QL4,2.20033145636166,2.93119898084627e-14
APOBR,-2.59178363950895,5.38153526241612e-14
HOXD13,4.37952579280705,6.60595700712766e-14
ANGPTL1,-3.91131253462934,1.33259302339478e-15
TICRR,3.96659160121541,1.33259302339478e-15
NCAPG2,2.1061978944256,1.33259302339478e-15
MEGF10,2.333646340351,2.02327844584677e-08
CASS4,-3.05975578907263,9.84804172873728e-15
ORC1,3.3109791710933,1.47047225225823e-15
PPP1R42,-3.12124322391018,4.41985072510649e-09
C14orf132,-2.38536455319866,5.2152007205548e-15
DES,-5.28783355747488,1.33259302339478e-15
ZNF385B,-4.52885656995059,1.33259302339478e-15
SPERT,3.10986741276188,8.87403175523904e-15
TJP3,-2.3877891684836,1.86802420496121e-11
GAD1,2.91701507824403,9.90460997302932e-12
SBSN,4.76948929349114,4.91996594266631e-10
C1QTNF7,-4.11712041164894,1.3695750331501e-15
B3GALT2,-2.42224407400398,4.53915802553651e-11
CDSN,3.04139864424588,1.12268385070095e-07
GCLC,2.34779581966735,2.41474024084818e-14
CCNE1,3.5686251634576,1.33420804523749e-15
CDK1,2.9170028171188,1.57626086368843e-15
KRT17,6.08479576928952,1.49201578948577e-14
NR5A2,-2.1763886125453,2.53373688176943e-13
WFDC5,2.96367444761184,3.55541244907673e-07
PGC,-7.37516099190877,1.51871307790786e-15
MAG,-2.19462817122952,1.69592459188199e-08
MMP13,4.50104595907968,9.06690905632255e-12
DNAJB13,-2.02462485916076,1.48192090993775e-06
C16orf59,3.64294585979254,2.0202563768652e-15
GUCA2A,-3.9203533040948,5.42940735638959e-15
EPN3,3.69097372894852,4.87484116185691e-15
CPM,-3.21799945351107,2.31363604555832e-15
RASSF2,-2.28661379125589,8.79330940224578e-14
TMPRSS11E,5.26374584340258,1.33259151972307e-14
ELF5,-2.48093196992365,4.11482999950291e-07
ITLN1,-4.76500803964799,1.1830050651459e-13
CLDN1,2.5386008737356,5.46241045747507e-10
C17orf72,-2.84575245174379,6.04523192753444e-14
COL11A1,5.62200149968375,1.15811812156382e-14
FAM181A,-2.9999861045188,4.12909852153918e-11
LAPTM5,-2.0422001428378,4.6451627328667e-14
MACROD2,-2.88659834732294,3.57008314693582e-14
ARHGAP18,-2.25579439016431,1.37937695708909e-15
SLC7A5,2.98899268385562,5.7898631309472e-15
ANGPTL5,-2.82735386711548,1.10927106454169e-14
PTPRQ,-2.76017397130509,2.17178266564178e-10
ASF1B,3.13959067042078,1.80794651394233e-15
ARC,-3.55460986088646,6.18414315085183e-14
S100A4,-2.39579985695608,1.10379048009892e-14
XRCC2,3.48908815154075,1.33259302339478e-15
SPRR3,6.28085224971161,6.75009705805196e-10
ACTL8,2.08994811165335,5.25664465520565e-14
NOVA2,-2.93024665266436,1.33259302339478e-15
GALNT14,2.95421453151427,2.81930189550969e-10
PDZD2,-2.80239036951597,1.50601608153673e-13
FLVCR2,-2.47019922337361,1.76674556049113e-15
RHCG,5.11587019705354,5.35345474211869e-12
AL163636.6,-3.19519372661837,1.33259302339478e-15
LY6D,5.75687918964338,3.61088075878252e-12
CASP14,3.21173489703851,3.06894890460859e-11
GPR87,5.55488706447879,8.96791071178086e-13
CNN1,-2.23260688531456,6.57593191963921e-12
HMCN2,-2.58117305767827,1.55841770386688e-11
CAT,-2.38660017106255,1.33259302339478e-15
ETV1,-2.16599043627726,1.90640191349608e-13
CHRM1,-3.79154440936451,1.45965259110317e-13
SLC4A4,-3.55899531077247,2.13612018269727e-15
SFTPB,-6.31579898250079,1.33259302339478e-15
DNAJC5B,-2.29166966577762,6.29329655403865e-11
ZFP36,-2.5812001325094,1.06090013948441e-13
CYP4B1,-6.46019165647141,1.39159551706711e-15
SIRPB2,-2.14098026250951,9.61024094125878e-13
MSR1,-3.34779895995226,2.5459037054281e-15
NTRK3,-2.65537292601594,6.61496243971681e-13
ITGA8,-3.78776616241246,1.3695750331501e-15
CACNA1B,3.19907831345643,2.18521469173701e-11
CIITA,-2.13300304158592,9.18747040521132e-13
VSNL1,2.82979563651207,2.33858479296867e-12
PBK,4.10988437590574,1.64563886916464e-15
SNTB1,-2.11399742703498,1.30892454199917e-13
FCRL6,-2.79699862922756,1.59936334228061e-14
CDT1,3.52605742175599,1.33259302339478e-15
PRRX2,2.30819398361386,3.31677097154529e-11
CLSPN,3.08805891347416,1.72789698685459e-15
C10orf54,-2.01559942849072,2.17599966625367e-15
HOXB13,3.35890264183689,6.14672030747818e-10
LRP2,-3.70653902110181,3.11941593135118e-13
C1orf194,-4.97928446355843,3.23148347921764e-10
HGF,-2.33576850691928,3.75033095943788e-13
KCNT2,-3.48837197396631,1.33259302339478e-15
ATP8A1,-3.13894011571174,1.33259302339478e-15
NCAPH,4.02839628929457,1.33259302339478e-15
CTSS,-2.47359982237601,2.76457662156132e-14
MMRN2,-2.28700087223682,2.91730436286282e-15
FGF7,-2.08039015425179,1.1369937138339e-10
PACRG,-2.50217752595438,1.19442928084716e-08
LRRC71,-3.25282477888409,3.79344164843815e-10
IGFL1,4.67918233438095,3.50936968940876e-12
ST6GALNAC3,-2.88896493306195,1.61183788061032e-15
MYOC,-5.17161152486985,1.45210074542966e-15
DEPDC1B,3.86562865979757,1.95661838219896e-15
SIX4,2.19642309254084,1.13338052687162e-12
PTPRZ1,3.25377501358795,2.76313292414142e-08
COCH,2.60004679022934,4.60473768761803e-09
UNC45B,-2.64691064382372,4.45519134383807e-15
APCDD1L,3.22402336736164,1.39335384423431e-13
PARVG,-2.10559910719697,1.01195471953525e-13
TMEM88,-3.36643111549134,1.33259302339478e-15
TPRXL,3.50638894922472,9.46617474300267e-14
SLC16A5,-2.06320242269547,5.31655166242009e-15
APOA1,-2.70518962838048,4.99744805135775e-14
RP4-576H24.4,-2.62374909523493,5.86513509350773e-12
SPOCK2,-3.79479120127998,2.52548863920106e-14
SOHLH1,3.19932414448362,3.56356543889575e-09
MLPH,-3.59040247502475,5.31655166242009e-15
CHODL,2.23231858282564,1.54128348430789e-08
HTR3C,-3.82994287635775,3.36601257222344e-13
FAM72D,3.16007800400376,1.33259302339478e-15
TWIST1,2.99434411038459,1.61543625266651e-10
GAPT,-2.67181781722846,1.30892454199917e-13
PLA1A,-3.17302737178616,3.66452492287033e-14
RPH3AL,-2.23119697509303,2.6740821936512e-15
GLYATL2,2.67347490837873,3.64668450476218e-06
MT-ND6,-2.2723999784172,1.02971907716088e-12
FAM132A,2.17079960752262,5.18556903950831e-09
CENPH,2.15440594095083,1.33259302339478e-15
PGLYRP3,5.38376446734985,1.99038475731391e-15
ITGB8,2.00477643855017,3.53508260270871e-12
GREM2,-2.54254448727249,6.78366550131128e-14
CBLN4,-2.2429866636891,1.50933137153809e-08
HIST1H3J,2.41778302725823,1.29143151388337e-11
HOXA5,-2.05261168950038,3.2224742586016e-12
DDO,-2.61442322143378,3.38504767942722e-15
DIO2,2.92265962362444,1.53385749685401e-12
PRDM16,-2.97446509413137,3.45560045315771e-15
PADI1,2.53483365863682,1.1639478417067e-11
HIST1H2AI,3.39696004082249,3.1819640210845e-15
ART4,-3.82175779865235,2.6740821936512e-15
NEIL3,3.66674261913961,1.33420804523749e-15
C9orf135,-4.00048349712952,1.85451780348825e-10
SFRP5,-3.8525897057964,8.8407063813231e-12
AP000769.1,2.1080296921817,1.43629710058705e-13
ARHGEF15,-3.47501681752946,1.33259302339478e-15
CD163,-2.00820072914259,1.11480360645006e-09
TDRD5,3.02706591690811,4.50723458356123e-10
DSP,3.97599799303421,1.33259302339478e-15
TBX21,-2.43379716705569,1.06080683370005e-13
MASP1,-3.13660685589954,1.08695873681519e-13
TMEM100,-6.03481685042179,1.33259302339478e-15
TEK,-4.07881666346186,1.33259302339478e-15
FGD5,-2.67840964934887,1.33259302339478e-15
HLA-DOA,-2.49740997902746,4.25446909844198e-15
CNR1,-2.97939078730031,8.95939290730482e-13
SOX21,3.00944264187371,8.94673732131834e-08
PCDH12,-2.73598727163075,1.33259302339478e-15
ASAH1,-2.00579997882688,1.47047225225823e-15
TMEM232,-2.57667760308785,2.17815581272938e-12
AQP3,-2.06820106270808,6.49107555621277e-08
CDC20,4.59679028577201,1.47047225225823e-15
DOCK8,-2.36440318901551,2.5459037054281e-15
AGER,-7.87879259848135,1.33259302339478e-15
CCL24,-2.45941260984801,9.45317459716648e-08
NGEF,2.73446623713845,9.84328535969316e-13
CCDC69,-2.69440276282832,1.33259302339478e-15
GJB4,3.79223527454927,1.5579241857772e-13
CNTNAP2,3.26707531853556,2.51031362660203e-08
KCNJ8,-2.09880802550724,1.42418221498934e-14
EDNRB,-4.65800096423408,1.33259302339478e-15
MYOZ1,-3.49283993667697,3.53445357153137e-15
FXYD1,-4.12680790672589,1.49783641840816e-15
ADIRF,-3.1235952535993,3.01449946339475e-15
FPR2,-3.82760139471461,5.31655166242009e-15
NES,-2.1926032090588,5.76334193571881e-14
EFNA2,2.11385439771943,2.71100390949618e-14
SLC6A14,-2.8335364496688,3.92469357475767e-09
ADAM33,-2.16455760105121,1.19115848609172e-13
CXCL17,-3.27321954175667,5.24580500432335e-14
HIST1H2AJ,2.30236056210813,1.50430555134976e-10
SLC6A2,2.22049641236398,3.56337195601447e-08
PEBP4,-6.63847336404506,1.33259302339478e-15
TPSD1,-2.59048993830819,3.27569891733946e-07
SHOX2,3.7087872451222,2.76674307353455e-15
GRIA1,-4.77455343781098,9.84525538310133e-15
MELK,4.40904741762221,1.34705187349842e-15
TMOD1,-2.55500180222842,4.6451627328667e-14
FGR,-2.90539893119624,2.71573996951005e-15
FAM13C,-2.63320989953449,1.9226833086526e-15
PVRL1,3.74579749782486,1.45210074542966e-15
RPL39L,3.08299502754726,3.1816603410419e-15
SIGLEC14,-2.1589926880549,2.28046664142481e-10
GABRQ,3.43365884215513,1.66780497374561e-13
C2CD4B,-2.21006001312085,4.71052102390748e-08
SCN2B,-2.55565623163081,1.82005911017271e-13
TMPRSS2,-3.49079051422246,3.1816603410419e-15
KRT78,3.33664344919507,2.13666906737917e-11
PTGIS,-2.47430634638727,1.90640191349608e-13
PID1,-2.99499637046099,1.33259302339478e-15
CAV1,-3.52180224671689,5.7898631309472e-15
TROAP,4.41821813114428,1.33259302339478e-15
CTSW,-2.61800290046969,6.47541259909781e-14
PALD1,-2.00981354244813,7.59625412304021e-14
MS4A2,-3.36363404924792,5.31655166242009e-15
CD52,-3.77179701869137,2.23892279602156e-15
TBX2,-2.50579302469735,6.79892300439042e-15
CHGB,2.0591148514051,6.85574572703472e-09
DTL,2.556033163265,2.76457662156132e-14
RGS13,-3.21471292506611,5.91691232586519e-15
HDC,-2.69505686948963,1.40308471779508e-13
CD300C,-3.00808259440444,2.23892279602156e-15
RHOV,4.33628773835652,1.9053067422842e-15
MLC1,-2.08927552727047,3.04247494002939e-11
WDR49,-2.29923871692392,6.99776311719851e-08
ECT2L,-2.67745889835503,1.98692030697362e-08
FAM69C,2.55970240074857,3.05485716375775e-10
ALDH1A2,-2.80461546756263,4.6451627328667e-14
ITLN2,-6.32487918669237,1.37937695708909e-15
FIBIN,-2.15821930073704,2.70361967522869e-10
RECQL4,3.1996232742737,1.33259302339478e-15
TLX3,2.8437900680065,1.38091576719383e-11
ERBB4,-2.9787058209883,1.74407070709466e-14
IVL,4.91174945463674,1.3607210589052e-12
TUBB3,3.26639904585368,3.41757404887734e-13
XDH,2.43407084513074,2.28201967517616e-11
MBIP,-2.037599879407,1.33259302339478e-15
SPRR1A,5.9093471759265,6.14332148581428e-11
ERG,-2.76719878291246,1.33259302339478e-15
ERP27,-2.1791605538014,6.32647067761087e-09
TMEM171,2.98513267604245,1.39159551706711e-15
FREM3,-2.41000582072172,3.25863088128328e-15
C1QA,-2.491600551027,7.08484917190905e-14
DPEP2,-3.55321995172447,3.38504767942722e-15
DNAI2,-3.50827414384751,3.13633653524027e-09
CDC6,4.04802388703554,1.49783641840816e-15
NEK2,4.38793088975955,1.37937695708909e-15
SUSD2,-5.21940415904177,1.33259302339478e-15
SEC14L4,-2.58887212693529,9.26595071201489e-12
REM1,-2.34326954914174,3.37158828319436e-12
RP11-169F17.1,2.29683537721323,6.27989274860621e-06
RANBP3L,-2.56878728432604,2.14777994875626e-13
WFDC6,-2.7641009671807,6.55431658871676e-09
CD69,-2.84062117046765,1.59936334228061e-14
NEDD9,-2.59900266054201,1.52540654868082e-15
INMT-FAM188B,-3.94443615065932,4.56365916731049e-15
ACSS3,-2.70799404525297,1.83905685587505e-14
WBSCR17,-2.28880508427445,3.95705553080029e-12
HIGD1B,-4.29421917719841,1.3695750331501e-15
LAMC3,-2.14781198481971,2.10069309376931e-13
GIMAP8,-3.4197795579786,1.33259302339478e-15
GAPDH,2.18400001265417,1.43531772562506e-15
ALOX15B,-3.43038954977478,6.87471125662214e-11
SH3GL2,-3.59113482265803,1.35873443272015e-12
DENND2A,-2.74880951634638,5.2152007205548e-15
NETO1,2.91873513578892,4.74620109168549e-11
CARD18,3.33081528256104,1.02396314696717e-11
GOLT1A,-3.13125043105759,3.9146753476753e-15
RNF182,-2.29868328816099,2.81930189550969e-10
FAM65B,-2.24079292384339,2.17815581272938e-12
NR3C2,-3.01158698322522,1.33259302339478e-15
PPP1R32,-2.36239485434435,4.4423944213328e-12
MYO5C,-2.04978687308221,6.9533615476345e-15
LMO3,-4.2439957142691,1.39045303430849e-14
TMPRSS11A,4.31856138030047,2.19436852622074e-12
ITM2A,-2.92579326658929,1.33259302339478e-15
DNAI1,-3.45768245110358,8.03559082546731e-09
CTB-186H2.3,-2.57913976869274,2.92744742628104e-08
DSC2,2.3815976569721,2.36197785889691e-15
PRF1,-2.45659241159854,2.00045652956675e-13
HHIP,-5.19485243447938,1.49783641840816e-15
LY6G6F,-2.80960386025427,8.14466051012452e-11
PLEKHB1,-2.69741220014581,5.71935361297899e-12
F10,-3.09260471340838,1.34705187349842e-15
C14orf180,-2.05247427154731,3.07486381765326e-14
SPC24,3.28118997566602,1.80794651394233e-15
CCDC141,-3.90381718367596,1.36029759758602e-14
ABI3BP,-3.72000583739183,2.5459037054281e-15
HLA-DRB5,-2.76459819856905,1.28940640901326e-09
KRT13,3.96701018148273,3.27921063044003e-07
KIF2C,4.17279920476728,1.63015356450099e-15
ENPP4,-2.65401214823423,2.6740821936512e-15
C1orf189,-3.65223419140423,3.37907676786933e-10
SLC6A11,2.50439672226272,2.05027294514246e-07
ITGA10,-2.52992848312013,7.6334633879224e-15
RPS6KA2,-2.79339453777155,1.33259302339478e-15
ST8SIA6,-3.37877211105519,9.01139003627021e-15
OLR1,-3.71259595875206,5.76823854353892e-14
DOCK4,-2.35379777806183,1.61183788061032e-15
VSIG4,-3.68960224233414,3.01449946339475e-15
PLAC8,-2.46939427037039,3.64463507850629e-10
DMBT1,-5.29482285691811,1.89162049161253e-12
PRB3,3.42432755422477,5.90745074805149e-14
TMEM190,-3.99727992324814,7.58407308295878e-09
ROBO4,-3.7497997534334,1.33259302339478e-15
UBE2C,4.71680928485491,1.39159551706711e-15
TMPRSS11D,5.14196010282102,1.75617626873182e-11
BRIP1,3.18284217480787,1.34705187349842e-15
GBP4,-2.02820102783476,2.68585002914714e-12
AGMAT,2.20053755443032,3.26190671694553e-13
TBX4,-3.74518375591181,2.17599966625367e-15
PI16,-4.68762907986744,2.23892279602156e-15
DDN,2.19238723653138,3.82421929507456e-14
CD302,-3.16998233881859,1.33259302339478e-15
ESPL1,3.2988728620532,1.64563886916464e-15
KLK11,-2.34537220710803,9.12745352467905e-05
ARHGAP6,-3.19239761348051,4.25446909844198e-15
NPY1R,-2.39199816812134,1.05935465445786e-11
KCNJ15,-2.10039580533682,3.93574629241374e-13
GYPE,-3.92846793205302,1.69704537890695e-15
TIE1,-2.93480706353748,1.33259302339478e-15
GLOD5,-2.92596287981521,1.43531772562506e-15
CD40LG,-2.47949743792383,1.53460875047227e-12
ZNF540,-2.01556328918465,3.24589451123616e-15
HPD,-2.06370785545771,7.97440367792642e-10
FAM83F,4.44504842541222,1.39063012675152e-14
FAM154B,-2.27059722569619,4.25174966931383e-09
CDKL2,-2.99754875953994,1.95661838219896e-15
IGFL4,2.94731671300439,4.05846647069346e-13
PALM3,-2.67417765424115,3.70957085222264e-11
CCL26,2.44961919841098,7.97580925273030e-10
ATAD5,2.13947873311938,1.52540654868082e-15
SPAG5,3.19560947556236,1.33259302339478e-15
AURKA,3.05861733325106,1.33259302339478e-15
PTGER2,-2.13499368749256,5.22064436410906e-13
C19orf69,-2.28048596680693,1.30297280119918e-12
C3orf65,2.08040983669537,1.62576511092699e-09
CNTN6,-5.312584269428,1.33259302339478e-15
LGI3,-4.94827915038596,3.85017436051978e-15
GPD1,-5.67795480944689,2.6740821936512e-15
BAI3,-2.47455938843703,6.16346900943927e-13
SFTA3,-6.22584862834546,1.33259302339478e-15
TYROBP,-2.47839974725795,1.49201578948577e-14
WASF1,2.15961315062467,1.0281217709459e-14
XAGE2B,-3.13587052205044,2.54816103440832e-07
FOXN1,3.0524670264825,2.07668774247728e-09
GIPC2,-2.81840543225802,1.27993204945864e-13
MUC21,-2.92087310010806,1.2992871824745e-10
SERPINB3,3.60424178885476,1.94087132617705e-06
RNASE10,2.11217272470833,2.41168019007267e-11
CYP2A6,-2.45846923803317,1.93582589426994e-10
CKMT1B,3.57866059375795,1.0281217709459e-14
GNGT2,-2.19277413868805,4.9712544934869e-15
CXCL16,-2.07740118248958,4.87484116185691e-15
MARK1,2.33441255822502,9.44013655763406e-15
AMBP,-2.24799636950371,4.3046945154628e-13
TAL1,-3.625094340878,2.71573996951005e-15
ZYG11A,3.02676907964143,3.11904141831295e-15
SERPINE2,2.02339704903039,5.59212589789834e-12
SERPINB4,4.52143044801569,5.50807595227875e-10
ALOX12B,2.72473166681606,1.95283830013598e-11
